brand,mileage,fuel_type,transmission,accident,clean_title,price,hp,engine_displacement,is_v_engine,age
Audi,39071,2,0,0,0,67900.0,318.83125,4.0,1,8
Mazda,96680,2,2,1,1,12900.0,140.0,1.8,0,26
Mercedes-Benz,53500,2,0,1,1,33999.0,362.0,3.0,1,8
Chevrolet,11025,2,2,0,1,47500.0,505.0,7.0,0,18
Ford,44000,0,0,1,1,73000.0,475.0,6.7,0,4
Volkswagen,11000,2,0,0,1,27900.0,184.0,2.0,0,3
BMW,103000,2,0,0,1,16000.0,407.0,4.4,0,13
Lexus,64000,2,0,0,1,37300.0,301.0,4.6,0,7
Audi,108000,2,0,0,1,25999.0,333.0,3.0,1,8
Alfa,37045,2,3,1,1,26600.0,280.0,2.0,0,7
BMW,28744,2,0,0,0,50998.0,360.47076923076924,4.4,0,6
BMW,65800,2,3,0,1,44950.0,425.0,3.0,0,10
Audi,33012,2,0,0,1,38000.0,355.0,2.0,0,6
Lexus,107818,2,0,1,1,11400.0,204.0,2.5,1,14
Land,79500,2,0,0,1,19000.0,240.0,2.0,0,9
Lexus,37000,2,0,0,1,63997.0,471.0,5.0,0,7
Kia,11945,2,0,0,0,38998.0,230.45454545454547,3.8,0,3
GMC,131800,2,0,1,1,5800.0,295.0,5.3,0,20
Lexus,146000,2,0,0,1,8995.0,272.0,3.5,1,17
Nissan,29000,2,2,0,1,29000.0,350.0,3.7,1,15
Dodge,141209,2,0,0,1,5700.0,345.0,5.7,0,21
Ford,85253,2,0,0,1,19995.0,365.0,3.5,1,9
INFINITI,87009,2,0,0,1,17800.0,325.0,3.7,1,10
Lincoln,158000,2,3,0,1,19780.0,380.0,3.5,1,9
Volvo,10500,2,0,0,1,36000.0,250.0,2.0,0,5
Audi,45843,2,0,0,1,37000.0,340.0,3.0,1,7
Ford,15198,2,0,0,1,31621.0,335.81672025723475,1.5,0,4
Jaguar,58000,2,0,0,1,51500.0,550.0,5.0,0,8
Land,30424,3,0,0,0,44998.0,381.03921568627453,2.0,0,5
